freq_c0,c0,fre_c1,c1,freq_c2,c2,freq_c5,c5,freq_c10,c10,freq_t0,t0,freq_t1,freq_t1,freq_t2,t2,freq_t5,t5,freq_t10,t10
432.91639,-0.001959455,435.43944,-5.29E-04,435.43944,0.001260175,435.22916,-0.00150492,434.80862,-8.17E-04,433.5471,-0.002830823,435.64972,-0.004405785,435.86001,-0.009527872,435.01889,-0.005282503,435.01889,-0.002294369
434.83965,-0.004128254,437.3627,-1.22E-04,437.3627,1.83E-04,437.15242,0.001206078,436.73188,-9.75E-04,435.47035,-0.00256623,437.57298,-0.00580889,437.78327,-0.0068633,436.94215,-0.00385342,436.94215,-0.00343492
436.76247,-9.65E-04,439.28552,0.003339265,439.28552,0.003755569,439.07524,0.005788024,438.6547,0.001203683,437.39318,0.002038542,439.4958,0.002057919,439.70609,0.004313998,438.86497,0.004306834,438.86497,0.002308547
438.68486,0.004944336,441.20791,0.004664542,441.20791,0.005608452,440.99763,0.006819544,440.57709,0.002013717,439.31556,0.005320346,441.41819,0.003172703,441.62848,6.35E-04,440.78736,0.007207927,440.78736,-1.05E-04
440.60681,0.007054646,443.12986,0.002262143,443.12986,0.003395488,442.91958,0.005514007,442.49904,4.96E-04,441.23752,0.005724866,443.34014,2.18E-04,443.55043,5.75E-04,442.70931,0.00150663,442.70931,-0.003701018
442.52833,0.004524818,445.05138,0.002619499,445.05138,0.002301431,444.8411,0.003341578,444.42056,6.88E-04,443.15903,0.003206459,445.26166,-8.90E-04,445.47195,-0.003275383,444.63083,0.003037395,444.63083,0.002390521
444.44941,-0.001681804,446.97246,1.60E-04,446.97246,0.002367942,446.76218,3.07E-04,446.34164,-3.94E-04,445.08012,-0.001492187,447.18274,-0.007667095,447.39303,-0.007813087,446.55191,-5.67E-04,446.55191,-9.71E-04
446.37006,-0.001205733,448.89311,0.003582798,448.89311,0.004148851,448.68283,0.002259786,448.26229,0.001510019,447.00077,-0.00121792,449.10339,-0.001541352,449.31368,-0.004383516,448.47256,-0.004296745,448.47256,-2.34E-04
448.29028,0.001054325,450.81333,0.004858531,450.81333,0.005525983,450.60305,0.005199493,450.18251,0.003148691,448.92098,0.001716724,451.02361,-0.001196664,451.2339,0.002885902,450.39277,0.001440755,450.39277,0.00321099
450.21006,0.001487947,452.73311,0.009031818,452.73311,0.007073515,452.52283,0.007107681,452.10229,0.003557057,450.84076,0.003054679,452.94339,0.002821753,453.15368,1.71E-04,452.31256,0.00280238,452.31256,0.007475467
452.1294,0.001316489,454.65245,0.008426307,454.65245,0.009752912,454.44218,0.008242073,454.02163,0.006562295,452.76011,0.004697148,454.86274,0.002956287,455.07302,0.003786372,454.2319,0.001106827,454.2319,0.009328702
454.04832,0.001989045,456.57137,0.008778752,456.57137,0.009268057,456.36109,0.010440104,455.94055,0.008960399,454.67902,0.005607829,456.78165,0.005293019,456.99194,0.00280242,456.15081,0.004297931,456.15081,0.009528094
