v_c0,c0,v_t0,t0,v_ref,pbttt_ref,v,f4tcnq_ref,v,annealled @275 C
1626.61419,0.111575953144218,1627.2449,0.125960261136673,1409.45205142433,0.478324666823917,1627.24489537976,0.00530652261131302,2752.76257597946,0.0884168444015659
1628.27264,0.136462358976435,1628.90334,0.150692291197875,1411.15260245153,0.592569507605724,1628.9033425301,0.00514848840677765,2755.95960074151,0.0842019319575057
1629.93072,0.17715187039843,1630.56143,0.194608721262178,1412.85277893775,0.731802028904758,1630.5614280719,0.00778557663789477,2759.15538058534,0.0796703456376323
1631.58845,0.233232488553159,1632.21915,0.252472763817018,1414.5525809825,0.859376703736743,1632.21915209879,0.00781309679200873,2762.34991614739,0.0736225357608944
1633.24581,0.313123916685494,1633.87651,0.338892055069146,1416.25200868529,0.932880173737872,1633.8765147044,0.00864005013042495,2765.5432080634,0.0689018551412776
1634.90281,0.43211143202502,1635.53352,0.46453961356526,1417.95106214558,0.924569902023308,1635.53351598228,0.0101192715974163,2768.73525696832,0.0638543998628584
1636.55945,0.597067878583191,1637.19016,0.634884015325116,1419.64974146276,0.844381151045757,1637.19015602595,0.0106267912697151,2771.92606349639,0.0598507491412373
1638.21573,0.789509351416988,1638.84643,0.823681283052209,1421.34804673621,0.717857474504415,1638.84643492893,0.0122121987655622,2775.11562828116,0.0566838696056387
1639.87165,0.949291287425108,1640.50235,0.971540546196235,1423.04597806523,0.589070831121003,1640.5023527846,0.0144079430010616,2778.30395195537,0.0542786464238862
1641.52721,1,1642.15791,1,1424.74353554911,0.482324332911737,1642.1579096864,0.016506784803872,2781.49103515109,0.0551341309569883
1643.1824,0.917932993359889,1643.81311,0.903626306910511,1426.44071928707,0.390129505832624,1643.81310572767,0.0183070160303456,2784.67687849965,0.0552240978115379
1644.83724,0.762482612902825,1645.46794,0.73972765108751,1428.13752937831,0.319780021600753,1645.46794100174,0.0218143011700781,2787.8614826316,0.0562933529225846
1646.49171,0.595156137628048,1647.12242,0.57740149892657,1429.83396592196,0.267671460830193,1647.12241560187,0.0230962805315902,2791.04484817684,0.0569131458156072
1648.14583,0.461258717705322,1648.77653,0.448834107942347,1431.53002901713,0.226739251311948,1648.7765296213,0.0246351241611018,2794.22697576445,0.0549300136908096
1649.79958,0.368772106287791,1650.43028,0.361785174525999,1433.22571876286,0.201625807722884,1650.43028315323,0.0301809791844529,2797.40786602285,0.052600699728348
1651.45297,0.29988262127716,1652.08368,0.298256315926805,1434.92103525819,0.182083431614171,1652.0836762908,0.0364019182910762,2800.58751957969,0.0500518433119483
1653.106,0.243582337884155,1653.73671,0.240548521353632,1436.61597860208,0.16683338008751,1653.73670912713,0.043351053781388,2803.76593706191,0.0488848886414064
1654.75868,0.195979951290821,1655.38938,0.195135128152796,1438.31054889344,0.160785357320006,1655.38938175528,0.0503576145541271,2806.9431190957,0.0489710846710476
1656.41099,0.155281237303335,1657.04169,0.158017758740509,1440.00474623117,0.15752385919001,1657.04169426828,0.0593184191900742,2810.11906630654,0.049877882589504
1658.06294,0.122932010986023,1658.69365,0.126814974798296,1441.6985707141,0.160066390525824,1658.69364675912,0.0692716212524774,2813.29377931916,0.0525119998709674
1659.71453,0.0922614246399611,1660.34524,0.0971669202768441,1443.39202244103,0.157443040390108,1660.34523932074,0.0804037871828876,2816.46725875758,0.0531862937533338
1661.36577,0.0749012449690725,1661.99647,0.080314666074192,1445.08510151071,0.163295027264641,1661.99647204605,0.104967161534095,2819.63950524508,0.0540820205298589
1663.01664,0.0602141344964149,1663.64735,0.0676467989573134,1446.77780802185,0.170812763113576,1663.64734502791,0.14034499964336,2822.81051940419,0.0560442371458309
1664.66715,0.0516347667402718,1665.29786,0.0583603779093049,1448.47014207312,0.17907733221641,1665.29785835914,0.182118397861995,2825.98030185677,0.0573261165040499
1666.31731,0.0461591482473484,1666.94801,0.0527127160745795,1450.16210376314,0.191600656726308,1666.94801213252,0.214228148039833,2829.14885322388,0.0585645760703895
1667.9671,0.0363864838239604,1668.59781,0.0437109929032208,1451.85369319049,0.203876863574549,1668.59780644081,0.210236630022897,2832.3161741259,0.057386972590306
1669.61654,0.0356672113051677,1670.24724,0.0419708740121475,1453.5449104537,0.221577950212789,1670.24724137667,0.15776814744239,2835.48226518245,0.0569325127723371
1671.26561,0.0330759529141534,1671.89632,0.0402825277657934,1455.23575565128,0.241149931907153,1671.89631703279,0.0853215000873945,2838.64712701246,0.0570772118934915
1672.91433,0.0362364820064538,1673.54503,0.0425697212699282,1456.92622888166,0.262132749181155,1673.54503350178,0.0418572639662809,2841.81076023407,0.057421895456725
1674.56269,0.0355435288249658,1675.19339,0.0436769944998024,1458.61633024328,0.281527643366262,1675.19339087621,0.0222742683459089,2844.97316546477,0.0596667831633695
1676.21068,0.032184592420675,1676.84139,0.0364517654110164,1460.30605983448,0.295934036813817,1676.84138924862,0.0122770794831043,2848.13434332125,0.0621026757210442
1677.85832,0.0311726783192618,1678.48903,0.037440509252681,1461.99541775358,0.303407364284274,1678.4890287115,0.00899888789723771,2851.29429441952,0.0645915810491654
1679.50561,0.0311203157216169,1680.13631,0.0360269403762042,1463.68440409888,0.309697236779651,1680.13630935732,0.00742388574966816,2854.45301937483,0.0654807516181161
1681.15253,0.0293336376314989,1681.78323,0.0335883558051757,1465.3730189686,0.307144381911407,1681.78323127848,0.00764353702012075,2857.61051880172,0.0650476396968956
1682.79909,0.0223452093974758,1683.42979,0.0290634679921566,1467.06126246094,0.295155454400441,1683.42979456735,0.00371741366885336,2860.766793314,0.065555051952113
1684.44529,0.0209735670110113,1685.076,0.0259368549410066,1468.74913467406,0.279036123020754,1685.07599931627,0.0039236211891422,2863.92184352475,0.0632875292404846
