wl,reference,5,10,15,30,50,70,p3ht
456.21,,0.854,0.8589,0.843,0.82,0.866,0.8705,
456.824,0.4178,,,,,,,
457.0594,,,,,,,,0.93192
457.06,,0.856,0.8605,0.8445,0.826,0.8689,0.8754,
457.741,0.4182,,,,,,,
457.91,,0.8558,0.8612,0.8432,0.8306,0.8706,0.8777,
457.91027,,,,,,,,0.95444
458.659,0.4185,,,,,,,
458.76,,0.8557,0.8614,0.8421,0.8342,0.8717,0.879,
458.76115,,,,,,,,0.96786
459.577,0.4188,,,,,,,
459.61,,0.8572,0.8626,0.8433,0.8384,0.8737,0.8803,
459.61202,,,,,,,,0.96458
460.46,,0.8612,0.866,0.8473,0.8431,0.8778,0.8827,
460.46289,,,,,,,,0.94196
460.495,0.4194,,,,,,,
461.31,,0.8654,0.8696,0.8533,0.8465,0.8809,0.8849,
461.31376,,,,,,,,0.91349
461.412,0.4201,,,,,,,
462.16,,0.8673,0.8729,0.8597,0.8495,0.8833,0.8873,
462.16463,,,,,,,,0.9148
462.33,0.4213,,,,,,,
463.0155,,,,,,,,0.93359
463.02,,0.8678,0.8777,0.8634,0.8535,0.887,0.891,
463.248,0.423,,,,,,,
463.86637,,,,,,,,0.94701
463.87,,0.8691,0.8834,0.8658,0.858,0.8917,0.896,
464.165,0.4255,,,,,,,
464.71725,,,,,,,,0.9675
464.72,,0.8732,0.8871,0.8674,0.8626,0.896,0.9018,
465.083,0.4282,,,,,,,
465.56812,,,,,,,,0.9941
465.57,,0.878,0.8885,0.8678,0.8669,0.899,0.9071,
466.001,0.4305,,,,,,,
466.41899000000006,,,,,,,,1.01525
466.42,,0.8823,0.8897,0.8701,0.8712,0.9026,0.9111,
466.918,0.4326,,,,,,,
467.26986,,,,,,,,1.00719
467.27,,0.8856,0.8915,0.8745,0.8761,0.9071,0.915,
467.836,0.4344,,,,,,,
468.12,,0.8881,0.8952,0.8787,0.8826,0.913,0.9204,
468.12073,,,,,,,,0.98041
468.754,0.4359,,,,,,,
468.97,,0.8929,0.8996,0.8838,0.8901,0.9197,0.9254,
468.9716,,,,,,,,0.97265
469.672,0.437,,,,,,,
469.82,,0.8994,0.9025,0.8911,0.8964,0.9244,0.9278,
469.82248,,,,,,,,0.98337
