wavenumber,e,d,f,g,h,i,j,l,m,n,a,c,b,o
3750.207,0.04073,0.8813,0.1305,0.7756,0.5024,0.1646,0.03605,-0.01001,-0.004356,0.01308,1.046,0.3195,1.099,-0.01124
3751.171,0.04122,0.8821,0.1291,0.7763,0.5,0.1641,0.0363,-0.009904,-0.00425,0.01321,1.047,0.3171,1.099,-0.01104
3752.136,0.04192,0.8828,0.1285,0.7769,0.499,0.1645,0.0367,-0.009658,-0.004195,0.01363,1.049,0.3162,1.099,-0.01074
3753.1,0.0425,0.8832,0.129,0.7773,0.5,0.1655,0.03708,-0.00939,-0.004213,0.01411,1.049,0.3171,1.099,-0.01047
3754.064,0.04276,0.8835,0.1302,0.7774,0.502,0.1665,0.03734,-0.009181,-0.004281,0.01442,1.049,0.3188,1.099,-0.0103
3755.028,0.04276,0.884,0.1314,0.7774,0.504,0.1671,0.03744,-0.009046,-0.004357,0.01448,1.049,0.3206,1.099,-0.01026
3755.993,0.04262,0.8846,0.1323,0.7772,0.5051,0.1672,0.03744,-0.008967,-0.004387,0.01434,1.049,0.3217,1.1,-0.01029
3756.957,0.04253,0.8853,0.1327,0.7772,0.5053,0.167,0.03741,-0.008916,-0.004328,0.01412,1.05,0.3218,1.1,-0.01033
3757.921,0.04262,0.8861,0.1326,0.7773,0.5046,0.1667,0.03741,-0.008874,-0.004167,0.01395,1.051,0.3214,1.1,-0.01035
3758.885,0.0429,0.8866,0.1325,0.7778,0.5038,0.1667,0.03748,-0.00883,-0.003943,0.01397,1.052,0.3208,1.1,-0.01031
3759.85,0.04328,0.8866,0.1325,0.7785,0.5036,0.167,0.03762,-0.008782,-0.003735,0.01415,1.052,0.3206,1.101,-0.01024
3760.814,0.04359,0.8863,0.1328,0.7794,0.5042,0.1675,0.03779,-0.008736,-0.003617,0.01442,1.053,0.3211,1.101,-0.01019
3761.778,0.0437,0.8858,0.1332,0.7802,0.5052,0.168,0.03793,-0.008705,-0.003619,0.01465,1.052,0.3218,1.102,-0.01018
3762.742,0.04361,0.8853,0.1336,0.7809,0.5063,0.1683,0.03801,-0.008701,-0.003722,0.01477,1.052,0.3225,1.102,-0.01022
3763.706,0.04337,0.8851,0.1338,0.7814,0.5072,0.1683,0.03802,-0.00874,-0.003876,0.01479,1.051,0.3229,1.102,-0.01028
3764.671,0.04307,0.8853,0.1338,0.7816,0.5077,0.1681,0.03798,-0.008823,-0.004021,0.01474,1.05,0.3231,1.101,-0.01034
3765.635,0.0428,0.8857,0.1336,0.7817,0.5078,0.1677,0.03791,-0.008935,-0.004103,0.01467,1.05,0.3229,1.1,-0.01037
3766.599,0.04259,0.8862,0.1333,0.7816,0.5077,0.1674,0.03785,-0.009037,-0.004094,0.0146,1.049,0.3225,1.099,-0.01037
3767.563,0.04247,0.8866,0.1329,0.7815,0.5074,0.1672,0.03781,-0.009089,-0.004009,0.01456,1.05,0.3218,1.098,-0.01031
3768.528,0.04244,0.887,0.1324,0.7814,0.5068,0.1671,0.03782,-0.00907,-0.003899,0.01451,1.05,0.321,1.098,-0.01024
3769.492,0.0425,0.8874,0.1321,0.7815,0.5062,0.1671,0.03788,-0.008992,-0.003827,0.01446,1.051,0.3201,1.098,-0.01016
3770.456,0.04264,0.8879,0.1319,0.7816,0.5057,0.1673,0.03795,-0.00889,-0.003829,0.01439,1.052,0.3194,1.099,-0.01009
3771.42,0.04283,0.8885,0.132,0.7819,0.5057,0.1676,0.03803,-0.0088,-0.003897,0.01432,1.052,0.3194,1.1,-0.01006
3772.385,0.04299,0.8889,0.1325,0.7823,0.5064,0.168,0.03809,-0.00874,-0.003984,0.01427,1.052,0.3202,1.101,-0.01005
3773.349,0.04306,0.889,0.1332,0.7828,0.5076,0.1684,0.03814,-0.008705,-0.004043,0.01426,1.052,0.3214,1.101,-0.01005
3774.313,0.043,0.8888,0.1339,0.7834,0.509,0.1687,0.03816,-0.008686,-0.004048,0.01429,1.052,0.3227,1.102,-0.01006
3775.277,0.04286,0.8885,0.1345,0.7841,0.5102,0.1688,0.03815,-0.008682,-0.004002,0.01436,1.053,0.3235,1.102,-0.01006
3776.242,0.04269,0.8883,0.1348,0.7847,0.5108,0.1686,0.03812,-0.008694,-0.003931,0.01447,1.053,0.3237,1.102,-0.01004
3777.206,0.0426,0.8883,0.1346,0.7853,0.5104,0.1682,0.03807,-0.008723,-0.003869,0.0146,1.054,0.3231,1.102,-0.01003
3778.17,0.04264,0.8886,0.1341,0.7857,0.5095,0.1679,0.03802,-0.008758,-0.003845,0.01472,1.054,0.3221,1.103,-0.01001
3779.134,0.0428,0.889,0.1336,0.7859,0.5085,0.1677,0.03797,-0.008779,-0.003866,0.01479,1.055,0.3212,1.104,-0.01001
3780.098,0.04299,0.8892,0.1333,0.7861,0.508,0.1677,0.03794,-0.008774,-0.00392,0.01478,1.055,0.3207,1.105,-0.01004
3781.063,0.04314,0.8893,0.1332,0.7863,0.508,0.1679,0.0379,-0.00875,-0.003988,0.01469,1.056,0.3208,1.105,-0.01011
3782.027,0.04318,0.8894,0.1333,0.7865,0.5084,0.1681,0.03783,-0.008734,-0.004062,0.01456,1.056,0.3211,1.106,-0.01019
3782.991,0.04312,0.8896,0.1335,0.7867,0.5088,0.1682,0.03774,-0.008752,-0.004133,0.01442,1.056,0.3214,1.105,-0.01028
3783.955,0.04302,0.89,0.1336,0.787,0.5091,0.1682,0.03762,-0.00881,-0.004188,0.01431,1.056,0.3214,1.105,-0.01035
3784.92,0.04294,0.8906,0.1336,0.7874,0.5091,0.1681,0.03752,-0.00889,-0.004203,0.01428,1.056,0.3212,1.105,-0.01038
3785.884,0.04291,0.8914,0.1336,0.7879,0.509,0.168,0.0375,-0.008955,-0.004156,0.01432,1.056,0.3209,1.105,-0.01037
