,ip (90-10),,oop (90-10),,azi (90-10),,ip (90-10),,oop (90-10),,azi (90-10),,ip (95-05),,oop (95-05),,azi (95-05),,ip (95-05),,oop (95-05),,azi (95-05),,ip,,oop,,azi,,ip,,oop,,ip,,oop
,PFO doped,,PFO doped,,PFO doped,,PFO undoped,,PFO undoped,,PFO undoped,,PFO doped,,PFO doped,,PFO doped,,PFO undoped,,PFO undoped,,PFO undoped,,back,,back,,back,,PBTTT doped,,PBTTT doped,,PBTTT undoped,,PBTTT undoped
1.0226358,4.335161,1.0226358,14.609613,1.0226358,9.995071,1.0226358,2.662598,1.0226358,10.885668,1.0226358,7.344944,1.0226358,4.547911,1.0226358,12.99531,1.0226358,9.127403,1.0226358,2.298994,1.0226358,10.236574,1.0226358,6.735544,1.0226358,18.359169,1.0226358,19.996149,1.0226358,20.20335,1.0226358,15.8534772,1.0226358,46.4372232,1.0226358,11.4147062,1.0226358,33.0490582
1.042886,4.197588,1.042886,16.523464,1.042886,10.576876,1.042886,2.421907,1.042886,11.915808,1.042886,7.711193,1.042886,4.051939,1.042886,13.818413,1.042886,9.32974600000001,1.042886,1.982386,1.042886,11.291428,1.042886,7.08059900000001,1.042886,19.026226,1.042886,19.546028,1.042886,20.48011,1.042886,15.4775878,1.042886,48.3409774,1.042886,10.9030568,1.042886,35.2663354
1.0631362,4.13494,1.0631362,17.342604,1.0631362,10.925238,1.0631362,2.200642,1.0631362,12.403986,1.0631362,7.734344,1.0631362,3.730471,1.0631362,14.125159,1.0631362,9.436104,1.0631362,1.701855,1.0631362,11.597702,1.0631362,7.01251600000001,1.0631362,19.320499,1.0631362,19.652353,1.0631362,20.703148,1.0631362,15.8752462,1.0631362,49.9411704,1.0631362,10.7902242,1.0631362,36.0908974
1.0833864,4.258549,1.0833864,16.780655,1.0833864,10.990751,1.0833864,2.721531,1.0833864,12.501888,1.0833864,7.984667,1.0833864,3.983625,1.0833864,14.304325,1.0833864,9.60207200000001,1.0833864,2.318374,1.0833864,11.633594,1.0833864,7.083519,1.0833864,19.038685,1.0833864,20.272545,1.0833864,20.773327,1.0833864,16.038214,1.0833864,51.45634,1.0833864,11.357245,1.0833864,36.63634
1.1036366,4.51286,1.1036366,16.605207,1.1036366,11.168492,1.1036366,3.225342,1.1036366,12.998045,1.1036366,8.32017,1.1036366,4.128544,1.1036366,14.985376,1.1036366,9.85195,1.1036366,3.246996,1.1036366,12.152658,1.1036366,7.728743,1.1036366,18.845411,1.1036366,20.521891,1.1036366,20.884361,1.1036366,16.2130368,1.1036366,52.6373878,1.1036366,11.7889678,1.1036366,37.4431278
1.1238869,4.891935,1.1238869,17.051802,1.1238869,11.492871,1.1238869,3.467296,1.1238869,13.597033,1.1238869,8.6222,1.1238869,4.233417,1.1238869,15.787794,1.1238869,10.155958,1.1238869,3.431251,1.1238869,12.884306,1.1238869,8.127188,1.1238869,18.968218,1.1238869,20.434816,1.1238869,21.198448,1.1238869,16.4636934,1.1238869,54.5299938,1.1238869,12.0154284,1.1238869,39.1567108
1.1441371,4.981741,1.1441371,17.891018,1.1441371,11.96676,1.1441371,3.47575,1.1441371,13.769005,1.1441371,8.86598700000001,1.1441371,4.810083,1.1441371,16.091671,1.1441371,10.52083,1.1441371,3.294699,1.1441371,13.301514,1.1441371,8.305647,1.1441371,19.054083,1.1441371,20.619247,1.1441371,21.48992,1.1441371,17.1224544,1.1441371,55.8704826,1.1441371,11.8843334,1.1441371,40.5896366
1.1643873,4.942429,1.1643873,19.002243,1.1643873,12.539931,1.1643873,3.356182,1.1643873,14.50906,1.1643873,9.439606,1.1643873,4.65943,1.1643873,16.180534,1.1643873,10.77772,1.1643873,2.935766,1.1643873,13.350063,1.1643873,8.453406,1.1643873,19.454937,1.1643873,21.240677,1.1643873,21.88936,1.1643873,16.7699046,1.1643873,58.3423876,1.1643873,11.5315746,1.1643873,42.1465936
1.1846375,5.285101,1.1846375,20.011988,1.1846375,13.277996,1.1846375,3.389053,1.1846375,15.549818,1.1846375,10.160492,1.1846375,4.976051,1.1846375,16.754992,1.1846375,11.345425,1.1846375,2.817997,1.1846375,13.878256,1.1846375,8.930912,1.1846375,19.642166,1.1846375,21.356443,1.1846375,22.21455,1.1846375,16.9807468,1.1846375,60.5329744,1.1846375,12.3303748,1.1846375,43.5207594
1.2048877,5.512913,1.2048877,20.949516,1.2048877,14.0193,1.2048877,3.372286,1.2048877,16.76281,1.2048877,10.909414,1.2048877,4.98264,1.2048877,17.574177,1.2048877,12.234728,1.2048877,2.830435,1.2048877,14.662464,1.2048877,9.619707,1.2048877,19.676317,1.2048877,21.219513,1.2048877,22.908846,1.2048877,17.2048256,1.2048877,62.8063374,1.2048877,12.7416526,1.2048877,45.0412234
