,,,ip,oop,complete
4.7033157,4.7033157,2.0608869,186.11882,247.43974,192.86376
4.7558665,4.7558665,2.0839133,186.94353,237.03941,192.66285
4.8084178,4.8084178,2.10694,199.28579,241.58277,190.97727
4.8609686,4.8609686,2.1299667,205.27948,242.11434,189.65782
4.9135199,4.9135199,2.1529934,205.2039,241.39669,188.25671
4.9660707,4.9660707,2.1760201,209.7599,248.23913,187.11165
5.0186219,5.0186219,2.1990469,209.48258,238.19858,185.98014
5.0711727,5.0711727,2.2220733,212.76071,265.19874,185.09906
5.1237235,5.1237235,2.2451,219.52178,264.89273,183.6649
5.1762748,5.1762748,2.2681267,222.67072,267.76886,182.56864
5.2288256,5.2288256,2.2911534,225.01301,275.11496,183.6077
5.2813768,5.2813768,2.3141801,225.99941,284.46042,182.33503
5.3339276,5.3339276,2.3372068,222.93608,295.99837,183.71443
5.3864789,5.3864789,2.3602333,219.4651,328.76584,184.93722
5.4390297,5.4390297,2.38326,223.31833,368.72243,188.55901
5.491581,5.491581,2.4062867,232.44299,397.49035,189.30472
5.5441318,5.5441318,2.4293134,233.7266,482.84359,197.6741
5.596683,5.596683,2.4523401,231.57224,622.03544,210.63166
5.6492338,5.6492338,2.4753668,229.44071,828.72146,227.17089
5.7017851,5.7017851,2.4983935,229.32676,1101.29026,248.98149
5.7543359,5.7543359,2.52142,231.83948,1368.19976,270.85661
5.8068867,5.8068867,2.5444467,235.80936,1578.24548,290.69467
5.8594379,5.8594379,2.5674734,243.29532,1721.68298,301.90002
5.9119887,5.9119887,2.5905001,244.42222,1792.8504,307.72093
5.96454,5.96454,2.6135268,237.8716,1835.9567,311.90495
6.0170908,6.0170908,2.6365535,231.60757,1885.90844,313.90992
6.0696421,6.0696421,2.65958,233.03197,1891.56278,309.89422
6.1221929,6.1221929,2.6826067,233.77429,1831.97106,300.42429
6.1747441,6.1747441,2.7056334,230.44248,1664.44118,281.84634
6.2272949,6.2272949,2.7286601,228.71994,1416.52534,256.25777
6.2798462,6.2798462,2.7516868,224.81516,1114.19288,229.98017
6.332397,6.332397,2.7747135,225.79048,811.57628,203.49813
6.3849483,6.3849483,2.7977402,225.89422,553.45779,181.02419
6.437499,6.437499,2.8207667,233.4929,388.08544,164.49404
6.4900498,6.4900498,2.8437934,232.07836,306.73181,155.38251
6.5426011,6.5426011,2.8668201,227.09489,258.32595,148.90015
6.5951519,6.5951519,2.8898468,234.31088,232.60301,146.4392
6.6477032,6.6477032,2.9128735,234.88365,226.84045,143.66795
6.700254,6.700254,2.9359002,231.50257,201.53378,140.2544
6.7528052,6.7528052,2.9589267,225.50835,188.63393,138.41883
6.805356,6.805356,2.9819534,223.53714,186.85347,136.1679
6.8579073,6.8579073,3.0049801,222.30674,173.86985,133.85443
6.9104581,6.9104581,3.0280068,225.25976,175.10796,132.85303
6.9630094,6.9630094,3.0510335,229.18588,175.54103,132.23961
7.0155602,7.0155602,3.0740602,224.17066,159.64537,129.10259
7.0681109,7.0681109,3.0970867,224.57522,161.29021,128.43809
7.1206622,7.1206622,3.1201134,226.95783,160.76052,126.97147
7.173213,7.173213,3.1431401,223.05338,149.18284,124.50786
7.2257643,7.2257643,3.1661668,214.05818,143.30031,124.30232
7.2783151,7.2783151,3.1891935,210.44758,145.50651,124.18839
7.3308663,7.3308663,3.2122202,217.64047,149.98972,122.9159
7.3834171,7.3834171,3.2352469,218.90579,147.45759,121.88136
7.4359684,7.4359684,3.2582734,218.95779,147.01934,122.04346
7.4885192,7.4885192,3.2813001,222.58136,146.96383,122.36299
7.5410705,7.5410705,3.3043268,225.48733,149.75122,121.74165
7.5936213,7.5936213,3.3273535,226.55189,149.89235,120.86544
7.6461725,7.6461725,3.3503802,222.18701,148.96085,119.58517
