,ip (90-10),,oop (90-10),,azi (90-10),,ip (90-10),,oop (90-10),,azi (90-10),,ip (95-05),,oop (95-05),,azi (95-05),,ip (95-05),,oop (95-05),,azi (95-05),,ip,,oop,,azi
,P3HT doped,,P3HT doped,,P3HT doped,,P3HT undoped,,P3HT undoped,,P3HT undoped,,P3HT doped,,P3HT doped,,P3HT doped,,P3HT undoped,,P3HT undoped,,P3HT undoped,,back,,back,,back
1.1036366,6.50034,1.1036366,17.974626,1.1036366,13.030739,1.1036366,4.509674,1.1036366,15.614156,1.1036366,10.740235,1.1036366,9.47313300000001,1.1036366,27.333688,1.1036366,19.025688,1.1036366,3.659432,1.1036366,12.66192,1.1036366,8.788183,1.1036366,18.845411,1.1036366,20.521891,1.1036366,20.884361
1.1238869,6.77268,1.1238869,19.138499,1.1238869,13.421425,1.1238869,4.650608,1.1238869,16.363577,1.1238869,10.960495,1.1238869,9.687803,1.1238869,28.261103,1.1238869,19.520508,1.1238869,3.782808,1.1238869,13.514433,1.1238869,8.965849,1.1238869,18.968218,1.1238869,20.434816,1.1238869,21.198448
1.1441371,6.788818,1.1441371,19.890465,1.1441371,13.786188,1.1441371,4.62924,1.1441371,16.96724,1.1441371,11.18176,1.1441371,9.88930300000001,1.1441371,29.036519,1.1441371,20.014711,1.1441371,4.133736,1.1441371,14.063828,1.1441371,9.301826,1.1441371,19.054083,1.1441371,20.619247,1.1441371,21.48992
1.1643873,6.315105,1.1643873,20.392895,1.1643873,14.216269,1.1643873,4.32616,1.1643873,17.779392,1.1643873,11.69512,1.1643873,9.20001,1.1643873,29.719765,1.1643873,20.442904,1.1643873,3.983953,1.1643873,14.889931,1.1643873,9.949954,1.1643873,19.454937,1.1643873,21.240677,1.1643873,21.88936
1.1846375,6.584057,1.1846375,21.502757,1.1846375,15.050743,1.1846375,4.591723,1.1846375,18.659338,1.1846375,12.612103,1.1846375,9.666491,1.1846375,30.709685,1.1846375,21.318058,1.1846375,4.002022,1.1846375,15.055098,1.1846375,10.503826,1.1846375,19.642166,1.1846375,21.356443,1.1846375,22.21455
1.2048877,6.605253,1.2048877,22.471241,1.2048877,15.868853,1.2048877,4.471007,1.2048877,19.571297,1.2048877,13.401827,1.2048877,10.505299,1.2048877,31.616703,1.2048877,22.324118,1.2048877,4.243788,1.2048877,15.178535,1.2048877,11.138071,1.2048877,19.676317,1.2048877,21.219513,1.2048877,22.908846
1.2251379,6.493407,1.2251379,23.630175,1.2251379,17.405283,1.2251379,4.238545,1.2251379,20.443945,1.2251379,14.283491,1.2251379,10.14682,1.2251379,32.698595,1.2251379,23.777971,1.2251379,4.25763,1.2251379,16.070055,1.2251379,12.417257,1.2251379,19.944103,1.2251379,21.368696,1.2251379,24.621489
1.2453882,6.099231,1.2453882,24.917986,1.2453882,20.381859,1.2453882,4.115264,1.2453882,21.459974,1.2453882,15.923813,1.2453882,9.672489,1.2453882,34.441534,1.2453882,26.625763,1.2453882,4.206691,1.2453882,17.862646,1.2453882,14.672333,1.2453882,20.389132,1.2453882,21.342043,1.2453882,27.442287
1.2656384,6.145084,1.2656384,25.782635,1.2656384,24.476889,1.2656384,4.222223,1.2656384,22.54934,1.2656384,18.199144,1.2656384,9.754734,1.2656384,36.057759,1.2656384,30.585764,1.2656384,4.43368,1.2656384,19.112851,1.2656384,17.224798,1.2656384,20.521862,1.2656384,21.864635,1.2656384,31.183218
1.2858886,6.618305,1.2858886,27.348921,1.2858886,28.214561,1.2858886,4.779573,1.2858886,24.29426,1.2858886,20.217689,1.2858886,10.411504,1.2858886,37.553625,1.2858886,34.400367,1.2858886,4.810735,1.2858886,20.190619,1.2858886,19.42015,1.2858886,20.295134,1.2858886,22.486307,1.2858886,35.953835
1.3061389,7.000717,1.3061389,28.870454,1.3061389,30.712674,1.3061389,5.098733,1.3061389,25.727552,1.3061389,22.334027,1.3061389,10.810525,1.3061389,38.841036,1.3061389,37.150601,1.3061389,4.731033,1.3061389,21.326357,1.3061389,21.220848,1.3061389,20.64119,1.3061389,23.023352,1.3061389,41.84679
1.3263891,7.087862,1.3263891,30.299935,1.3263891,32.844532,1.3263891,5.413944,1.3263891,27.725731,1.3263891,25.060459,1.3263891,10.901236,1.3263891,40.526268,1.3263891,39.038868,1.3263891,4.594469,1.3263891,22.504536,1.3263891,23.503788,1.3263891,20.762882,1.3263891,23.536514,1.3263891,48.902424
1.3466393,7.019293,1.3466393,32.043507,1.3466393,35.232292,1.3466393,5.130186,1.3466393,30.126271,1.3466393,27.285225,1.3466393,11.261328,1.3466393,42.419098,1.3466393,40.934906,1.3466393,4.632933,1.3466393,23.872391,1.3466393,25.863327,1.3466393,20.897936,1.3466393,23.845596,1.3466393,56.293129
1.3668895,7.156832,1.3668895,33.591789,1.3668895,38.708429,1.3668895,4.554334,1.3668895,31.612773,1.3668895,30.244545,1.3668895,11.09214,1.3668895,43.821144,1.3668895,44.134479,1.3668895,4.662491,1.3668895,25.270439,1.3668895,28.664902,1.3668895,21.647751,1.3668895,24.465569,1.3668895,64.163521
1.3871397,7.428693,1.3871397,36.342105,1.3871397,43.20322,1.3871397,4.905324,1.3871397,34.418666,1.3871397,34.74528,1.3871397,10.984851,1.3871397,45.516491,1.3871397,49.2754,1.3871397,4.971893,1.3871397,28.434539,1.3871397,33.54118,1.3871397,22.3578,1.3871397,25.170216,1.3871397,73.39193
1.4073899,7.371223,1.4073899,39.837063,1.4073899,47.682747,1.4073899,5.251489,1.4073899,39.825055,1.4073899,39.574507,1.4073899,10.638004,1.4073899,48.358059,1.4073899,53.752847,1.4073899,4.871864,1.4073899,33.064118,1.4073899,38.718647,1.4073899,22.813061,1.4073899,26.208675,1.4073899,84.140953
1.4276401,7.27578600000001,1.4276401,44.673202,1.4276401,53.365623,1.4276401,4.770487,1.4276401,47.814522,1.4276401,45.344263,1.4276401,10.163759,1.4276401,52.618026,1.4276401,58.329093,1.4276401,4.501343,1.4276401,39.33995,1.4276401,43.560183,1.4276401,23.37166,1.4276401,27.540581,1.4276401,96.301247
1.4478903,7.481131,1.4478903,51.812166,1.4478903,60.38118,1.4478903,4.735178,1.4478903,58.204004,1.4478903,52.74136,1.4478903,10.15345,1.4478903,57.652017,1.4478903,63.38376,1.4478903,4.616709,1.4478903,47.322801,1.4478903,49.24448,1.4478903,23.723877,1.4478903,28.93524,1.4478903,109.1463
1.4681405,7.491788,1.4681405,77.84521,1.4681405,77.40365,1.4681405,5.09564,1.4681405,98.85994,1.4681405,76.62672,1.4681405,10.996057,1.4681405,74.99522,1.4681405,75.28494,1.4681405,4.832435,1.4681405,79.58787,1.4681405,67.96046,1.4681405,24.3501,1.4681405,32.50592,1.4681405,123.37691
1.4883908,8.739588,1.4883908,231.460142,1.4883908,161.99399,1.4883908,6.04304700000001,1.4883908,363.469322,1.4883908,212.89914,1.4883908,12.463694,1.4883908,176.562952,1.4883908,132.5823,1.4883908,6.277297,1.4883908,290.288482,1.4883908,170.91513,1.4883908,26.017324,1.4883908,49.624668,1.4883908,144.04468
1.508641,14.671833,1.508641,517.221191,1.508641,330.37787,1.508641,10.605957,1.508641,845.223691,1.508641,485.54883,1.508641,17.999695,1.508641,356.976231,1.508641,241.08209,1.508641,11.078751,1.508641,667.390501,1.508641,371.78229,1.508641,30.152618,1.508641,84.736389,1.508641,174.3808
1.5288912,26.053688,1.5288912,864.04515,1.5288912,545.8289,1.5288912,17.661159,1.5288912,1390.75094,1.5288912,823.00107,1.5288912,29.138458,1.5288912,560.16881,1.5288912,376.13463,1.5288912,19.452682,1.5288912,1106.08624,1.5288912,629.91643,1.5288912,42.076111,1.5288912,134.96596,1.5288912,213.17903
1.5491414,40.943447,1.5491414,1245.86606,1.5491414,773.4624,1.5491414,25.723537,1.5491414,2042.66726,1.5491414,1216.2495,1.5491414,46.773977,1.5491414,797.70282,1.5491414,525.52878,1.5491414,30.093411,1.5491414,1599.61616,1.5491414,916.3913,1.5491414,62.430973,1.5491414,196.58954,1.5491414,257.2388
1.5693916,54.132152,1.5693916,1325.43285,1.5693916,819.2026,1.5693916,32.422082,1.5693916,2123.65485,1.5693916,1274.9558,1.5693916,62.411882,1.5693916,844.51585,1.5693916,554.6911,1.5693916,40.625852,1.5693916,1666.19925,1.5693916,962.5826,1.5693916,86.886398,1.5693916,231.21205,1.5693916,288.1532
1.5896418,62.04235,1.5896418,1291.68153,1.5896418,795.16672,1.5896418,36.30675,1.5896418,2032.24513,1.5896418,1227.67692,1.5896418,69.54885,1.5896418,830.63533,1.5896418,540.58893,1.5896418,45.87009,1.5896418,1589.96983,1.5896418,923.78512,1.5896418,115.47877,1.5896418,258.79077,1.5896418,315.58148
