,ip,,oop,,azi,,ip,,oop,,azi,,ip,,oop,,azi,,ip,,oop,,azi,,rad,,rad,,rad,,rad
,PBTTT doped,,PBTTT doped,,PBTTT doped,,PBTTT undoped,,PBTTT undoped,,PBTTT undoped,,PBTTT dedoped,,PBTTT dedoped,,PBTTT dedoped,,back,,back,,back,,doped,,undoped,,dedoped,,back
0.79988348,14.2078702,0.79988348,32.2872712,0.79988348,23.8549492,0.79988348,9.9496112,0.79988348,23.6901222,0.79988348,17.4644662,0.79988348,9.0703012,0.79988348,20.8384522,0.79988348,15.3960112,0.79988348,17.281704,0.79988348,17.818024,0.79988348,18.059664,-142.49998,376.0361,-142.49998,340.1595,-142.49998,390.7291,-142.49998,866.4447
0.82013369,15.2867922,0.82013369,34.720882,0.82013369,25.0695124,0.82013369,10.0948232,0.82013369,25.137253,0.82013369,18.1204464,0.82013369,9.2231592,0.82013369,22.210213,0.82013369,15.9075254,0.82013369,17.303734,0.82013369,17.626575,0.82013369,18.246923,-141.49997,377.1374,-141.49997,338.3115,-141.49997,393.2784,-141.49997,872.3775
0.84038389,15.631993,0.84038389,36.1786424,0.84038389,25.6181652,0.84038389,9.794444,0.84038389,26.0687564,0.84038389,18.4016622,0.84038389,9.442674,0.84038389,23.0452274,0.84038389,16.3449912,0.84038389,17.621685,0.84038389,17.783028,0.84038389,18.672014,-140.49997,379.24673,-140.49997,331.85313,-140.49997,397.20583,-140.49997,872.66357
0.86063409,15.0456724,0.86063409,37.4502246,0.86063409,26.241456,0.86063409,9.9366064,0.86063409,26.9317426,0.86063409,19.01941,0.86063409,9.4872924,0.86063409,23.9317506,0.86063409,17.022023,0.86063409,17.597813,0.86063409,17.973322,0.86063409,18.811295,-139.49997,388.8872,-139.49997,339.0085,-139.49997,396.7572,-139.49997,873.3186
0.88088435,15.1173588,0.88088435,38.5831088,0.88088435,27.1464128,0.88088435,11.0254798,0.88088435,27.4803218,0.88088435,19.9135788,0.88088435,9.2597388,0.88088435,24.1735478,0.88088435,17.3179138,0.88088435,17.312721,0.88088435,18.315781,0.88088435,18.680651,-138.49998,386.68174,-138.49998,343.48304,-138.49998,400.09204,-138.49998,873.71716
0.90113455,15.5287802,0.90113455,38.7796434,0.90113455,28.102361,0.90113455,11.2056752,0.90113455,27.0969234,0.90113455,20.108655,0.90113455,9.4326182,0.90113455,23.9824674,0.90113455,17.727159,0.90113455,17.404799,0.90113455,18.968948,0.90113455,18.793455,-137.49997,382.62826,-137.49997,341.51096,-137.49997,398.58066,-137.49997,874.52234
0.92138475,15.8506092,0.92138475,39.0576474,0.92138475,28.5103784,0.92138475,11.6800122,0.92138475,27.4307744,0.92138475,20.4125314,0.92138475,9.6307792,0.92138475,24.1065294,0.92138475,17.8535564,0.92138475,17.563629,0.92138475,19.589828,0.92138475,19.258408,-136.49997,383.08302,-136.49997,347.02622,-136.49997,402.84952,-136.49997,876.52368
0.94163495,16.0845054,0.94163495,40.4512192,0.94163495,28.841327,0.94163495,11.9372694,0.94163495,28.7470642,0.94163495,20.917652,0.94163495,9.7174914,0.94163495,25.1316242,0.94163495,18.062904,0.94163495,17.588963,0.94163495,19.558794,0.94163495,19.529165,-135.49998,388.01841,-135.49998,348.22661,-135.49998,404.34501,-135.49998,876.62469
0.96188515,16.361624,0.96188515,42.164678,0.96188515,29.6049406,0.96188515,11.953265,0.96188515,30.248182,0.96188515,21.5675866,0.96188515,9.90225500000001,0.96188515,26.767682,0.96188515,18.9798716,0.96188515,17.776875,0.96188515,19.11566,0.96188515,19.477312,-134.49997,392.13702,-134.49997,353.41542,-134.49997,406.98812,-134.49997,880.24738
0.98213542,16.3135932,0.98213542,43.4289404,0.98213542,30.257886,0.98213542,11.4832252,0.98213542,31.0109724,0.98213542,21.996407,0.98213542,10.7245972,0.98213542,27.9726764,0.98213542,19.891797,0.98213542,17.842049,0.98213542,19.434998,0.98213542,19.58181,-133.49997,391.79533,-133.49997,354.28073,-133.49997,406.54803,-133.49997,881.93927
1.0023856,15.7807822,1.0023856,45.0427226,1.0023856,30.9150206,1.0023856,11.0168392,1.0023856,31.6551186,1.0023856,22.2101256,1.0023856,10.4836512,1.0023856,28.9564266,1.0023856,20.0202486,1.0023856,18.125549,1.0023856,20.008572,1.0023856,19.958677,-132.49998,397.59262,-132.49998,355.34482,-132.49998,411.89282,-132.49998,884.15808
1.0226358,15.8534772,1.0226358,46.4372232,1.0226358,31.754279,1.0226358,11.4147062,1.0226358,33.0490582,1.0226358,23.044455,1.0226358,10.3242792,1.0226358,29.9528592,1.0226358,20.277209,1.0226358,18.359169,1.0226358,19.996149,1.0226358,20.20335,-131.49997,396.49591,-131.49997,357.47551,-131.49997,419.36581,-131.49997,884.71429
1.042886,15.4775878,1.042886,48.3409774,1.042886,32.528269,1.042886,10.9030568,1.042886,35.2663354,1.042886,23.760916,1.042886,9.6828648,1.042886,31.1408054,1.042886,20.75567,1.042886,19.026226,1.042886,19.546028,1.042886,20.48011,-130.49997,403.24534,-130.49997,364.42064,-130.49997,426.43004,-130.49997,881.54846
1.0631362,15.8752462,1.0631362,49.9411704,1.0631362,33.7034064,1.0631362,10.7902242,1.0631362,36.0908974,1.0631362,24.0857234,1.0631362,9.44049620000001,1.0631362,31.8436674,1.0631362,21.3206514,1.0631362,19.320499,1.0631362,19.652353,1.0631362,20.703148,-129.49997,410.33577,-129.49997,367.59047,-129.49997,428.01327,-129.49997,886.12933
1.0833864,16.038214,1.0833864,51.45634,1.0833864,34.6435066,1.0833864,11.357245,1.0833864,36.63634,1.0833864,24.6282096,1.0833864,9.323244,1.0833864,32.561717,1.0833864,21.8516896,1.0833864,19.038685,1.0833864,20.272545,1.0833864,20.773327,-128.49998,415.40064,-128.49998,376.53614,-128.49998,429.54454,-128.49998,885.26086
1.1036366,16.2130368,1.1036366,52.6373878,1.1036366,35.4235958,1.1036366,11.7889678,1.1036366,37.4431278,1.1036366,25.3021208,1.1036366,9.96425780000001,1.1036366,33.2316598,1.1036366,22.3193588,1.1036366,18.845411,1.1036366,20.521891,1.1036366,20.884361,-127.49998,421.03297,-127.49998,381.18067,-127.49998,438.08857,-127.49998,880.52393
1.1238869,16.4636934,1.1238869,54.5299938,1.1238869,36.0708234,1.1238869,12.0154284,1.1238869,39.1567108,1.1238869,25.9561684,1.1238869,10.8286424,1.1238869,34.0588978,1.1238869,22.7341804,1.1238869,18.968218,1.1238869,20.434816,1.1238869,21.198448,-126.49998,424.90928,-126.49998,384.40218,-126.49998,439.61118,-126.49998,887.10352
1.1441371,17.1224544,1.1441371,55.8704826,1.1441371,36.959933,1.1441371,11.8843334,1.1441371,40.5896366,1.1441371,26.686484,1.1441371,11.4488474,1.1441371,35.3046556,1.1441371,23.590338,1.1441371,19.054083,1.1441371,20.619247,1.1441371,21.48992,-125.49998,428.383,-125.49998,393.1197,-125.49998,446.7518,-125.49998,887.2121
1.1643873,16.7699046,1.1643873,58.3423876,1.1643873,38.429492,1.1643873,11.5315746,1.1643873,42.1465936,1.1643873,27.776496,1.1643873,11.0818896,1.1643873,37.3168596,1.1643873,24.799064,1.1643873,19.454937,1.1643873,21.240677,1.1643873,21.88936,-124.49997,443.92655,-124.49997,400.04075,-124.49997,456.96055,-124.49997,883.93195
1.1846375,16.9807468,1.1846375,60.5329744,1.1846375,39.920703,1.1846375,12.3303748,1.1846375,43.5207594,1.1846375,28.828655,1.1846375,11.4383808,1.1846375,38.8761444,1.1846375,25.939407,1.1846375,19.642166,1.1846375,21.356443,1.1846375,22.21455,-123.49998,447.47103,-123.49998,403.91623,-123.49998,465.70713,-123.49998,885.88287
1.2048877,17.2048256,1.2048877,62.8063374,1.2048877,41.2569658,1.2048877,12.7416526,1.2048877,45.0412234,1.2048877,29.7620588,1.2048877,11.3729476,1.2048877,40.1923004,1.2048877,26.9207008,1.2048877,19.676317,1.2048877,21.219513,1.2048877,22.908846,-122.49998,456.84567,-122.49998,413.20107,-122.49998,473.11007,-122.49998,887.66083
1.2251379,16.9462114,1.2251379,64.5395568,1.2251379,42.5099462,1.2251379,12.6901154,1.2251379,46.9858758,1.2251379,31.0596282,1.2251379,11.2268514,1.2251379,41.4965338,1.2251379,28.0433472,1.2251379,19.944103,1.2251379,21.368696,1.2251379,24.621489,-121.49998,469.88338,-121.49998,418.18088,-121.49998,475.81718,-121.49998,888.65472
1.2453882,16.7405576,1.2453882,68.4739904,1.2453882,45.7700686,1.2453882,12.2205726,1.2453882,49.8070974,1.2453882,33.5407746,1.2453882,10.3564786,1.2453882,44.1275934,1.2453882,30.5864556,1.2453882,20.389132,1.2453882,21.342043,1.2453882,27.442287,-120.49998,481.49532,-120.49998,433.25152,-120.49998,492.09682,-120.49998,885.57098
1.2656384,17.3557986,1.2656384,72.110537,1.2656384,50.6897114,1.2656384,11.9948596,1.2656384,52.09186,1.2656384,36.9463644,1.2656384,10.0970016,1.2656384,47.101206,1.2656384,34.8230274,1.2656384,20.521862,1.2656384,21.864635,1.2656384,31.183218,-119.49998,495.41109,-119.49998,445.54269,-119.49998,500.37419,-119.49998,888.07861
1.2858886,17.5727192,1.2858886,75.6193416,1.2858886,55.739912,1.2858886,12.4153862,1.2858886,54.6183376,1.2858886,40.538847,1.2858886,10.7767102,1.2858886,50.2798746,1.2858886,39.960005,1.2858886,20.295134,1.2858886,22.486307,1.2858886,35.953835,-118.49998,505.67387,-118.49998,453.13817,-118.49998,506.74087,-118.49998,891.83643
1.3061389,17.902798,1.3061389,79.0441676,1.3061389,60.149952,1.3061389,12.890988,1.3061389,57.8566956,1.3061389,43.96946,1.3061389,11.213078,1.3061389,53.0186906,1.3061389,44.09758,1.3061389,20.64119,1.3061389,23.023352,1.3061389,41.84679,-117.49998,515.68085,-117.49998,472.86945,-117.49998,532.50545,-117.49998,888.93805
1.3263891,18.0772216,1.3263891,83.9051432,1.3263891,64.8147312,1.3263891,12.9278106,1.3263891,62.1996952,1.3263891,47.5705512,1.3263891,11.5722236,1.3263891,56.1462212,1.3263891,47.9913812,1.3263891,20.762882,1.3263891,23.536514,1.3263891,48.902424,-116.49998,532.36735,-116.49998,490.61225,-116.49998,544.31905,-116.49998,891.97565
1.3466393,18.4564738,1.3466393,89.0694648,1.3466393,69.7164452,1.3466393,13.3080818,1.3466393,65.9302448,1.3466393,51.4744752,1.3466393,11.9552678,1.3466393,59.4160538,1.3466393,52.6017452,1.3466393,20.897936,1.3466393,23.845596,1.3466393,56.293129,-115.49998,554.85765,-115.49998,503.87225,-115.49998,558.53755,-115.49998,895.09735
1.3668895,18.7519358,1.3668895,93.2514772,1.3668895,75.4468748,1.3668895,13.7912158,1.3668895,69.0545102,1.3668895,56.4728748,1.3668895,11.9511658,1.3668895,61.9037002,1.3668895,56.9143448,1.3668895,21.647751,1.3668895,24.465569,1.3668895,64.163521,-114.49998,575.23928,-114.49998,524.00118,-114.49998,575.69848,-114.49998,890.53552
1.3871397,19.397233,1.3871397,101.2408408,1.3871397,84.983884,1.3871397,13.813638,1.3871397,75.2023008,1.3871397,63.197204,1.3871397,12.373689,1.3871397,68.0716578,1.3871397,64.547724,1.3871397,22.3578,1.3871397,25.170216,1.3871397,73.39193,-113.49998,599.97121,-113.49998,544.00901,-113.49998,591.77371,-113.49998,891.51019
1.4073899,19.1877728,1.4073899,112.99605,1.4073899,96.6878564,1.4073899,13.8869958,1.4073899,84.1591,1.4073899,71.0199164,1.4073899,12.7362578,1.4073899,76.96465,1.4073899,72.8225464,1.4073899,22.813061,1.4073899,26.208675,1.4073899,84.140953,-112.49998,628.96721,-112.49998,575.16711,-112.49998,619.25291,-112.49998,886.43689
1.4276401,18.089861,1.4276401,129.3046828,1.4276401,108.9816436,1.4276401,13.731573,1.4276401,96.7541128,1.4276401,79.3843536,1.4276401,12.054853,1.4276401,88.7956828,1.4276401,81.9790436000001,1.4276401,23.37166,1.4276401,27.540581,1.4276401,96.301247,-111.49998,660.57228,-111.49998,605.96348,-111.49998,645.72558,-111.49998,888.89502
1.4478903,18.0529426,1.4478903,151.235862,1.4478903,124.13598,1.4478903,13.6584766,1.4478903,113.733802,1.4478903,90.39122,1.4478903,12.2683476,1.4478903,104.581412,1.4478903,94.85145,1.4478903,23.723877,1.4478903,28.93524,1.4478903,109.1463,-110.49998,701.86141,-110.49998,648.14841,-110.49998,681.25641,-110.49998,886.63409
