Wavenumber[1/cm],120C,110C,100C,90C,80C,70C
2107.332,0.01023,0.09590000000000001,0.19590000000000002,0.2594,0.3095,0.3797
2107.814,0.01044,0.09610000000000002,0.19569999999999999,0.2598,0.3098,0.3795
2108.296,0.01071,0.0965,0.19540000000000002,0.2602,0.31,0.3794
2108.779,0.01096,0.0968,0.19490000000000002,0.2605,0.3101,0.3795
2109.261,0.01114,0.097,0.19440000000000002,0.2607,0.3102,0.3798
2109.743,0.01122,0.09720000000000001,0.194,0.2608,0.3101,0.3802
2110.225,0.01121,0.09720000000000001,0.1937,0.2609,0.3101,0.3807
2110.707,0.01112,0.09720000000000001,0.1937,0.2609,0.3101,0.381
2111.189,0.01101,0.09720000000000001,0.1938,0.261,0.3101,0.3811
2111.671,0.0109,0.09710000000000002,0.1942,0.2612,0.3102,0.3812
2112.153,0.01084,0.09710000000000002,0.1947,0.2615,0.3105,0.3813
2112.636,0.01083,0.09720000000000001,0.19530000000000003,0.2619,0.3109,0.3815
2113.118,0.0109,0.0973,0.19590000000000002,0.2623,0.3115,0.3817
2113.6,0.01103,0.0975,0.1966,0.2627,0.3121,0.3821
2114.082,0.01121,0.0978,0.1972,0.2628,0.3127,0.3825
2114.564,0.0114,0.098,0.1976,0.2629,0.313,0.3828
2115.046,0.01158,0.0983,0.1977,0.2628,0.3131,0.383
2115.528,0.0117,0.0985,0.1976,0.2626,0.313,0.383
2116.01,0.01175,0.09860000000000002,0.19730000000000003,0.2624,0.3129,0.3829
2116.492,0.01172,0.09860000000000002,0.19680000000000003,0.2623,0.3127,0.3828
2116.975,0.0116,0.09860000000000002,0.19630000000000003,0.2623,0.3127,0.3826
2117.457,0.0114,0.09840000000000002,0.196,0.2625,0.3128,0.3827
2117.939,0.01115,0.0983,0.19590000000000002,0.2626,0.3128,0.3829
2118.421,0.01088,0.09810000000000002,0.1961,0.2628,0.3129,0.3833
2118.903,0.01063,0.09790000000000001,0.19640000000000002,0.2629,0.3128,0.3838
2119.385,0.01045,0.0978,0.19680000000000003,0.263,0.3126,0.3841
2119.867,0.01036,0.09770000000000001,0.1971,0.2629,0.3123,0.3843
2120.349,0.01036,0.0978,0.19730000000000003,0.2627,0.3121,0.3842
2120.832,0.01041,0.09790000000000001,0.19740000000000002,0.2624,0.3119,0.3839
2121.314,0.01042,0.098,0.19740000000000002,0.262,0.3119,0.3835
2121.796,0.01032,0.098,0.19730000000000003,0.2616,0.3121,0.3831
2122.278,0.01008,0.0978,0.197,0.2612,0.3124,0.3827
2122.76,0.009712,0.0975,0.19669999999999999,0.261,0.3127,0.3824
2123.242,0.009279,0.09710000000000002,0.19640000000000002,0.2608,0.3132,0.3823
2123.724,0.008867,0.0968,0.1961,0.2609,0.3137,0.3822
2124.206,0.008555,0.0965,0.19590000000000002,0.2611,0.3142,0.3822
2124.688,0.008393,0.09640000000000001,0.19590000000000002,0.2615,0.3147,0.3823
2125.171,0.008385,0.0965,0.1961,0.262,0.3151,0.3825
2125.653,0.008503,0.09670000000000001,0.1965,0.2626,0.3154,0.3829
2126.135,0.008687,0.09690000000000001,0.197,0.2632,0.3155,0.3834
2126.617,0.008878,0.09720000000000001,0.1975,0.2637,0.3155,0.384
2127.099,0.009019,0.09740000000000001,0.19780000000000003,0.264,0.3154,0.3849
2127.581,0.009072,0.0975,0.198,0.2642,0.3152,0.3858
2128.063,0.009015,0.0975,0.19790000000000002,0.2642,0.3149,0.3866
2128.545,0.008851,0.09740000000000001,0.1976,0.264,0.3146,0.3872
2129.028,0.008586,0.09720000000000001,0.197,0.2636,0.3142,0.3874
2129.51,0.008235,0.097,0.19630000000000003,0.2631,0.3137,0.3872
2129.992,0.007809,0.09660000000000002,0.1955,0.2626,0.3132,0.3866
2130.474,0.007319,0.09620000000000001,0.1948,0.2621,0.3125,0.3856
2130.956,0.006782,0.09570000000000001,0.1943,0.2616,0.3118,0.3845
2131.438,0.006233,0.0952,0.1941,0.2613,0.3112,0.3833
2131.92,0.005733,0.09480000000000002,0.1942,0.2611,0.3107,0.3823
2132.402,0.005379,0.0945,0.1947,0.261,0.3105,0.3815
2132.884,0.005269,0.0945,0.19530000000000003,0.2611,0.3105,0.381
2133.367,0.005466,0.0947,0.196,0.2612,0.3108,0.3807
2133.849,0.005948,0.09530000000000002,0.1965,0.2616,0.3114,0.3807
2134.331,0.00664,0.096,0.19680000000000003,0.262,0.3123,0.3809
2134.813,0.007392,0.09690000000000001,0.19690000000000002,0.2626,0.3131,0.3813
2135.295,0.00803,0.09760000000000002,0.197,0.2633,0.3139,0.3818
2135.777,0.00841,0.098,0.1972,0.2641,0.3145,0.3825
2136.259,0.008483,0.09810000000000002,0.1977,0.2647,0.3149,0.3832
2136.741,0.008284,0.098,0.19840000000000002,0.2652,0.3149,0.3839
2137.223,0.007909,0.09770000000000001,0.1992,0.2655,0.3147,0.3846
2137.706,0.007488,0.09740000000000001,0.2,0.2655,0.3143,0.3853
2138.188,0.007144,0.09710000000000002,0.20040000000000002,0.2654,0.3138,0.386
2138.67,0.006955,0.097,0.20040000000000002,0.2653,0.3134,0.3866
2139.152,0.006959,0.097,0.2,0.2651,0.3132,0.3871
2139.634,0.007157,0.0973,0.19940000000000002,0.2651,0.3133,0.3876
2140.116,0.007531,0.09770000000000001,0.19880000000000003,0.2652,0.3137,0.3879
2140.598,0.008025,0.0983,0.19830000000000003,0.2654,0.3143,0.3881
2141.08,0.008559,0.09890000000000002,0.198,0.2656,0.315,0.3881
2141.563,0.009024,0.09940000000000002,0.19780000000000003,0.2658,0.3157,0.3878
2142.045,0.009315,0.0998,0.1975,0.2659,0.316,0.3872
2142.527,0.009324,0.09990000000000002,0.1972,0.2659,0.3159,0.3863
2143.009,0.009025,0.09960000000000002,0.19680000000000003,0.2658,0.3154,0.3852
2143.491,0.008479,0.09920000000000001,0.19640000000000002,0.2656,0.3147,0.384
2143.973,0.00779,0.0985,0.19630000000000003,0.2655,0.3141,0.3831
2144.455,0.007096,0.09790000000000001,0.1965,0.2656,0.3137,0.3827
2144.937,0.006508,0.09740000000000001,0.1971,0.2661,0.3139,0.3829
2145.419,0.006055,0.097,0.1981,0.2669,0.3145,0.3839
2145.902,0.005703,0.09670000000000001,0.19930000000000003,0.2679,0.3155,0.3853
2146.384,0.00538,0.0965,0.20030000000000003,0.269,0.3164,0.3868
2146.866,0.005043,0.09620000000000001,0.20090000000000002,0.2699,0.3172,0.3882
2147.348,0.004718,0.09590000000000001,0.2011,0.2704,0.3176,0.3893
2147.83,0.00451,0.09580000000000002,0.2007,0.2705,0.3177,0.3898
2148.312,0.004521,0.09590000000000001,0.2001,0.2702,0.3177,0.3898
2148.794,0.004829,0.0963,0.1996,0.2695,0.3176,0.3894
2149.276,0.005377,0.09690000000000001,0.19930000000000003,0.2685,0.3177,0.3889
