,Wavenumber,Absorbance,film
306,694.551,0.6556,doped PBTTT
307,695.5160000000001,0.6609,doped PBTTT
308,696.48,0.6659,doped PBTTT
309,697.444,0.6707,doped PBTTT
310,698.408,0.6756,doped PBTTT
311,699.372,0.6809999999999999,doped PBTTT
312,700.337,0.6869,doped PBTTT
313,701.301,0.6929,doped PBTTT
314,702.265,0.6989,doped PBTTT
315,703.2289999999999,0.7044,doped PBTTT
316,704.194,0.7096,doped PBTTT
317,705.158,0.7145,doped PBTTT
318,706.122,0.7195,doped PBTTT
319,707.086,0.7244,doped PBTTT
320,708.051,0.7295,doped PBTTT
321,709.015,0.7347,doped PBTTT
322,709.9789999999999,0.7404,doped PBTTT
323,710.943,0.7468,doped PBTTT
324,711.908,0.7541,doped PBTTT
325,712.872,0.7619,doped PBTTT
326,713.836,0.7694,doped PBTTT
327,714.8,0.7759,doped PBTTT
328,715.7639999999999,0.7809,doped PBTTT
329,716.7289999999999,0.7847,doped PBTTT
330,717.693,0.7879,doped PBTTT
331,718.6569999999999,0.7908,doped PBTTT
332,719.6210000000001,0.7936,doped PBTTT
333,720.586,0.7958,doped PBTTT
334,721.55,0.7969,doped PBTTT
335,722.5139999999999,0.797,doped PBTTT
336,723.4780000000001,0.7961,doped PBTTT
337,724.443,0.7949,doped PBTTT
338,725.4069999999999,0.7937,doped PBTTT
339,726.3710000000001,0.7926,doped PBTTT
340,727.335,0.7917,doped PBTTT
341,728.299,0.7911,doped PBTTT
342,729.2639999999999,0.7912,doped PBTTT
343,730.2280000000001,0.7922,doped PBTTT
344,731.192,0.7945,doped PBTTT
345,732.1560000000001,0.7983,doped PBTTT
346,733.1210000000001,0.8034,doped PBTTT
347,734.085,0.8093,doped PBTTT
348,735.049,0.8157,doped PBTTT
349,736.013,0.8222,doped PBTTT
350,736.9780000000001,0.8286,doped PBTTT
351,737.942,0.8348,doped PBTTT
352,738.9060000000001,0.8407,doped PBTTT
353,739.87,0.8465,doped PBTTT
354,740.835,0.8522,doped PBTTT
355,741.799,0.858,doped PBTTT
356,742.763,0.8639,doped PBTTT
357,743.727,0.8703,doped PBTTT
358,744.691,0.8771,doped PBTTT
359,745.6560000000001,0.8842,doped PBTTT
360,746.62,0.8909999999999999,doped PBTTT
361,747.584,0.8971,doped PBTTT
362,748.548,0.902,doped PBTTT
363,749.513,0.9059999999999999,doped PBTTT
364,750.477,0.9096,doped PBTTT
365,751.441,0.9137,doped PBTTT
366,752.405,0.9189,doped PBTTT
367,753.37,0.9252,doped PBTTT
368,754.334,0.9318,doped PBTTT
369,755.298,0.9376,doped PBTTT
370,756.262,0.9419,doped PBTTT
371,757.227,0.9445,doped PBTTT
372,758.191,0.9461,doped PBTTT
373,759.155,0.9475,doped PBTTT
374,760.1189999999999,0.9495,doped PBTTT
375,761.0830000000001,0.9520000000000001,doped PBTTT
376,762.048,0.9546,doped PBTTT
377,763.012,0.9564,doped PBTTT
378,763.9760000000001,0.9569,doped PBTTT
379,764.94,0.9561,doped PBTTT
380,765.905,0.9545,doped PBTTT
381,766.8689999999999,0.9527,doped PBTTT
382,767.8330000000001,0.9513,doped PBTTT
383,768.797,0.9505,doped PBTTT
384,769.762,0.95,doped PBTTT
385,770.7260000000001,0.9497,doped PBTTT
386,771.69,0.9493,doped PBTTT
387,772.654,0.9488,doped PBTTT
388,773.618,0.9478,doped PBTTT
389,774.5830000000001,0.9464,doped PBTTT
390,775.547,0.9442,doped PBTTT
391,776.5110000000001,0.9411,doped PBTTT
392,777.475,0.9374,doped PBTTT
393,778.44,0.9334,doped PBTTT
394,779.404,0.9297,doped PBTTT
395,780.368,0.9268,doped PBTTT
396,781.332,0.9249,doped PBTTT
397,782.297,0.9234,doped PBTTT
398,783.2610000000001,0.9217,doped PBTTT
399,784.225,0.9192,doped PBTTT
400,785.189,0.9155,doped PBTTT
401,786.154,0.9106,doped PBTTT
402,787.118,0.905,doped PBTTT
403,788.082,0.8992,doped PBTTT
404,789.046,0.8936,doped PBTTT
405,790.01,0.8885,doped PBTTT
406,790.975,0.884,doped PBTTT
407,791.939,0.8798,doped PBTTT
408,792.903,0.8759999999999999,doped PBTTT
409,793.867,0.8722,doped PBTTT
410,794.832,0.8681,doped PBTTT
411,795.796,0.8635,doped PBTTT
412,796.76,0.8584,doped PBTTT
413,797.7239999999999,0.853,doped PBTTT
414,798.689,0.8479,doped PBTTT
415,799.653,0.8434,doped PBTTT
416,800.617,0.8396,doped PBTTT
417,801.581,0.8364,doped PBTTT
418,802.545,0.8332,doped PBTTT
419,803.51,0.8297,doped PBTTT
420,804.4739999999999,0.8258,doped PBTTT
421,805.438,0.8217,doped PBTTT
